Mode	Frequency	Participation X	Participation Y	Participation Z
1	0 Hz	82.1195006	0	0.049100001
2	0 Hz	0.030799999	11.3950998	60.9853029
3	1.311E-04 Hz	0.73739998	0.0093	0.041199999
4	238.9 Hz	10.8069003	0.077400001	0.0098
5	387.2 Hz	0.54469998	0.0063	0.0088
6	742.6 Hz	2.44169999	0.351099996	0.0619
7	970.6 Hz	0.0041	0.124999997	0.0002
8	1313 Hz	0.838099979	0.293099997	0.264000008
9	1478 Hz	0.194999995	0.592700019	0.028899999
10	1682 Hz	0.002	0.1422	0.032699999
11	1912 Hz	0.056299998	2.0242	0.096799998
12	2206 Hz	0.190000003	3.04310005	0.780799985
13	2472 Hz	0.0002	29.787901	2.82910001
14	2678 Hz	0.184599997	45.826	6.5433003
15	3177 Hz	0.194400002	1.84320007	0
16	3235 Hz	0.054799998	1.84380002	0.794299971
17	3821 Hz	0.136400003	0.666699978	0.610100012
18	3890 Hz	0.019799999	0.262699998	3.97550017
19	4134 Hz	0.047200001	0.263600005	0.716000004
20	4435 Hz	0.0197	0.0092	0.0049
21	4636 Hz	0.037299999	0.126499997	11.9938001
22	4877 Hz	0.069800002	0.085299998	0.631099986
23	5106 Hz	0.0039	0.318	7.12630004
24	5475 Hz	0.140499999	0.148400001	0.030000001
25	5959 Hz	0.0114	0.0153	0.326999999
26	6012 Hz	0.0003	0.0086	0.300800009
27	6922 Hz	0.0528	0.070099998	0.0208
28	7225 Hz	0.062000001	0.006	0.069999998
29	7517 Hz	0.0302	0.026199999	0.023799999
30	7862 Hz	0.0035	0.0075	0.0202
31	8023 Hz	0.0024	0.0004	0.047699999
32	8180 Hz	0.0026	0.0002	0.176000001
33	8868 Hz	0.002	0.0005	0.068699999
34	8991 Hz	0.0333	0.001	0.0267
35	9400 Hz	0.056900003	0.0179	0.0002

Sum		99.1325008	99.3945009	98.6958035
